price,address,postal_code,bed,full_bath,half_bath,property_area,property_type
550000,2814 Edmonton Trail NE,T2E 5J2,3.0,2.0,1.0,1743.0,townhouse
945000,40 CHRISTIE CAIRN SQ SW,T3H 2Z2,5.0,4.0,1.0,2783.0,house
729900,256 SIROCCO PL SW,T3H 2N3,4.0,3.0,,1818.0,house
274900,244 CRANSTON Way SE,T3M 1S3,2.0,2.0,,1205.0,townhouse
3164700,"106, 738 1st Avenue SW",T2P 5G8,4.0,4.0,1.0,3105.0,condo
179900,120 - 6919 ELBOW DR SW,T2V 0E6,2.0,1.0,,1005.0,townhouse
359900,109 MT LORETTE PL SE,T2Z 2M1,4.0,2.0,,1055.0,house
118980,92 - 99 ARBOUR LAKE RD NW,T3G 4E4,3.0,2.0,,1216.0,
289000,318 - 88 ARBOUR LAKE RD NW,T3G 0C2,2.0,2.0,,1064.0,condo
489900,6372 33 AVE NW,T3B 1K7,3.0,2.0,,2407.0,house
1298200,93 ELKTON WAY SW,T3H 4Y9,6.0,4.0,1.0,3092.0,house
244900,606 - 250 SAGE VALLEY RD NW,T3R 0R6,3.0,2.0,,767.0,townhouse
309900,1836 43 ST SE,T2B 1G9,3.0,2.0,,829.0,house
1725000,179 CEDARBROOK WAY SW,T2W 3Z7,,,,7170.0,house
409900,2605 - 225 11 AVE SE,T2G 0G3,2.0,2.0,,786.0,condo
1175000,24 NEW ST SE,T2G 3X9,3.0,3.0,1.0,2068.0,house
573000,36 COUGARSTONE SQ SW,T3H 5J3,4.0,3.0,1.0,1970.0,house
490000,105 - 408 27 AVE NE,T2E 2A4,3.0,2.0,1.0,1550.0,townhouse
630000,10 ASPEN RIDGE LANE SW,T3H 5H9,,,,,
274900,127 PRESTWICK ACRES LANE SE,T2Z 3Y2,2.0,1.0,1.0,1077.0,townhouse
279900,202 - 616 15 AVE SW,T2R 0R5,2.0,1.0,,970.0,condo
309000,3201 LAKE FRASER Court SE,T2J 7H4,2.0,2.0,,1148.0,condo
297000,163 APPLEBROOK CIR SE,T2A 7T3,2.0,1.0,,945.0,house
189800,18 - 12 TEMPLEWOOD DR NE,T1Y 4R7,3.0,1.0,1.0,1046.0,townhouse
330000,118 APPLEMEAD CLOSE SE,T2A 7S7,4.0,1.0,2.0,1253.0,house
995,7407 20A ST SE,T2C 0S3,5.0,2.0,,946.0,house
1100,255 PINEMILL MEWS NE,T1Y 4R2,3.0,1.0,,1188.0,house
235000,77 - 6915 RANCHVIEW DR NW,T3G 1R8,3.0,1.0,1.0,1069.0,condo
205000,2107 - 130 PANATELLA ST NW,T3K 0Y6,2.0,2.0,,842.0,condo
